sentence,emoji,label
"Really, Food makes me happy",😋,8
Such a tasty treat all day,😋,8
"Really, You made my day",😂,2
Yawning all day so much,😴,1
I feel like this is pure happiness,❤️,0
I can’t stand this anymore right now,😡,6
"Really, Can’t stop eating this",😋,8
This is heartbreaking!,😢,3
This is making me furious all day,😡,6
Love is in the air right now,❤️,0
Such a sad story,😢,3
Absolutely i stayed up too late,😴,1
Funniest thing I've seen today today,😂,2
"Wow, Such a tasty treat",😋,8
This is frustrating!,😡,6
Considering my options so much,🤔,5
Stop annoying me today,😡,6
"Really, Congratulations",🎉,4
Considering my options!,🤔,5
Feeling hopeless today,😢,3
Feeling down today all day,😢,3
It’s a tough choice so much,🤔,5
"Wow, I’m terrified",😱,9
"Really, Living my best life",😎,7
"Wow, You crossed the line",😡,6
I’m in deep thought so much,🤔,5
Exhausted and drowsy today,😴,1
Stop annoying me,😡,6
I miss those days all day,😢,3
This is super stylish all day,😎,7
I’m feeling awesome so much,😎,7
Oh my gosh so much,😱,9
"Wow, This is a tragedy",😢,3
Too cool to handle right now,😎,7
This is horrifying!,😱,9
I feel like such a shocking moment,😱,9
Absolutely i can’t believe this,😱,9
"Wow, So flavorful and rich",😋,8
I’m so angry right now right now,😡,6
Absolutely congratulations,🎉,4
I’m terrified today,😱,9
I adore this all day,❤️,0
"Wow, Everything feels wrong",😢,3
"Wow, I’m on top of the world",😎,7
Let me take a nap today,😴,1
I’m curious about that today,🤔,5
This tastes amazing today,😋,8
Victory is ours today,🎉,4
"Really, I’m deeply in love",❤️,0
Sending you my love today,❤️,0
This is unacceptable,😡,6
Tears won’t stop coming,😢,3
"Really, So tired after work",😴,1
Absolutely laughing so hard right now,😂,2
Absolutely you’re my everything,❤️,0
"Wow, I can’t believe this",😱,9
Tears won’t stop coming today,😢,3
I’m on top of the world right now,😎,7
"Really, This is too funny",😂,2
Such a tasty treat,😋,8
This is pure swag so much,😎,7
This makes me happy today,❤️,0
"Wow, Everything feels wrong",😢,3
Absolutely party all night long,🎉,4
Absolutely you made my day,😂,2
So delicious right now,😋,8
Exhausted and drowsy today,😴,1
I am so sad so much,😢,3
Life feels so heavy right now,😢,3
Too cool to handle today,😎,7
I feel like looking sharp,😎,7
Absolutely i can’t believe this,😱,9
I’m in total disbelief today,😱,9
My jaw dropped all day,😱,9
Absolutely stop annoying me,😡,6
Such a tasty treat so much,😋,8
So flavorful and rich so much,😋,8
Yawning all day today,😴,1
Absolutely you’re so funny,😂,2
"Really, Laughing so hard right now",😂,2
Look at my style so much,😎,7
Delicious beyond words today,😋,8
Absolutely i’m falling asleep here,😴,1
"Wow, Tasting heaven right now",😋,8
Exhausted and drowsy,😴,1
I’m deeply in love!,❤️,0
"Really, What should I do next",🤔,5
I’m feeling awesome today,😎,7
I feel lonely so much,😢,3
"Wow, This is my favorite thing",❤️,0
Best food ever,😋,8
"Really, Yummy food",😋,8
This is a tragedy,😢,3
I can’t stop laughing today,😂,2
Happy birthday all day,🎉,4
"Wow, Feeling hopeless",😢,3
My jaw dropped today,😱,9
Comedy at its best all day,😂,2
Absolutely let’s party tonight,🎉,4
"Really, I feel so irritated",😡,6
Comedy at its best all day,😂,2
I need to decide right now,🤔,5
Life feels so heavy,😢,3
I can’t believe this so much,😱,9
Absolutely best food ever,😋,8
I miss those days today,😢,3
Yawning all day right now,😴,1
My eyes are closing today,😴,1
Funniest thing I've seen today so much,😂,2
Absolutely delicious beyond words,😋,8
Living my best life today,😎,7
Stop annoying me today,😡,6
My favorite meal right now,😋,8
"Really, Let me think",🤔,5
That’s awesome,😎,7
I adore this!,❤️,0
Absolutely love is in the air,❤️,0
I feel like my favorite meal,😋,8
I feel like you made my day,😂,2
Considering my options right now,🤔,5
Absolutely i’m falling asleep here,😴,1
Yummy food,😋,8
I feel like this is making me mad,😡,6
I’m not sure about this,🤔,5
You crossed the line right now,😡,6
Style game strong all day,😎,7
Looking sharp right now,😎,7
I stayed up too late today,😴,1
Pondering over this idea all day,🤔,5
I feel like can’t stop eating this,😋,8
You’re so funny all day,😂,2
"Wow, Feeling lazy and sleepy",😴,1
"Really, You’re so funny",😂,2
"Really, I stayed up too late",😴,1
Can't keep my eyes open right now,😴,1
I feel like party all night long,🎉,4
Style game strong right now,😎,7
You’re so funny so much,😂,2
My favorite meal so much,😋,8
This news is shocking so much,😱,9
I'm feeling sleepy,😴,1
My heart belongs to you so much,❤️,0
"Really, I’m losing my temper",😡,6
Absolutely i can’t stand this anymore,😡,6
I’m terrified all day,😱,9
This meme is hilarious today,😂,2
Oh my gosh today,😱,9
Feeling lazy and sleepy!,😴,1
Exhausted and drowsy,😴,1
"Really, I’m in total disbelief",😱,9
I’m confident about this,😎,7
I can’t believe this,😱,9
"Wow, I’m not sure about this",🤔,5
Absolutely delicious beyond words,😋,8
"Wow, I miss those days",😢,3
Style game strong!,😎,7
This makes me wonder all day,🤔,5
Can’t stop eating this right now,😋,8
I feel like i’m astonished,😱,9
I feel like i can’t stop loving this,❤️,0
I am so sad all day,😢,3
Such a sad story!,😢,3
"Wow, You mean so much to me",❤️,0
Absolutely i’m in deep thought,🤔,5
You crossed the line all day,😡,6
I feel like this dessert is perfect,😋,8
I can’t believe this happened right now,😡,6
That’s awesome right now,😎,7
LOL that’s hilarious!,😂,2
I feel like that’s the funniest thing ever,😂,2
I feel like i’m not sure about this,🤔,5
"Wow, It’s celebration time",🎉,4
Time to pop the champagne all day,🎉,4
Yummy food!,😋,8
Too cool to handle!,😎,7
Yummy food today,😋,8
Let’s party tonight all day,🎉,4
This news is shocking right now,😱,9
I’m boiling with anger right now,😡,6
You’re my everything!,❤️,0
I feel like let’s dance and celebrate,🎉,4
My eyes are closing!,😴,1
"Really, Tasting heaven right now",😋,8
Yawning all day today,😴,1
I feel like feeling like a boss,😎,7
Enjoying the party vibes!,🎉,4
My love for you grows daily today,❤️,0
This is my favorite thing right now,❤️,0
I’m terrified right now,😱,9
"Wow, Life feels so heavy",😢,3
You’re my everything all day,❤️,0
I’m losing my temper so much,😡,6
You’re my everything,❤️,0
Let’s celebrate together!,🎉,4
"Wow, My heart belongs to you",❤️,0
I feel like victory is ours,🎉,4
I’m so shocked today,😱,9
Time to pop the champagne all day,🎉,4
I feel like this is making me mad,😡,6
I’m frozen in fear today,😱,9
"Wow, This joke is gold",😂,2
I’m feeling awesome!,😎,7
I’m deeply in love!,❤️,0
"Wow, This is mouth-watering",😋,8
This news is shocking so much,😱,9
Why would you do that,😡,6
"Wow, That’s awesome",😎,7
Look at my style,😎,7
Cheers to success,🎉,4
Party all night long today,🎉,4
This tastes amazing,😋,8
Food makes me happy!,😋,8
Cheers to success today,🎉,4
Absolutely i need a nap,😴,1
You mean so much to me today,❤️,0
This is pure swag all day,😎,7
I feel like this is mouth-watering,😋,8
