sentence,emoji,text_clean
I’m praying for you. haha,🙏,i m praying for you haha
Good vibes only..,😊,good vibes only
This lecture is making me sleepy.,😴,this lecture is making me sleepy
I’m really angry right now. haha,😡,i m really angry right now haha
That joke was hilarious! lol,😂,that joke was hilarious lol
Blessings to you. haha,🙏,blessings to you haha
It’s party time! omg,🥳,it s party time omg
That’s so hot right now.,🔥,that s so hot right now
I can’t believe this happened..,😡,i can t believe this happened
That’s so sweet of you. omg,😊,that s so sweet of you omg
I feel blessed and happy..,😊,i feel blessed and happy
I can't stop laughing at this! omg,😂,i can t stop laughing at this omg
I’m laughing so hard right now. lol,😂,i m laughing so hard right now lol
You have a lovely smile..,😊,you have a lovely smile
Happy birthday to you!!,🎂,happy birthday to you
I truly adore this moment. lol,❤️,i truly adore this moment lol
Please don’t leave me.!,🥺,please don t leave me
This is terrifying.,😱,this is terrifying
I feel blessed and happy..,😊,i feel blessed and happy
I’m really angry right now..,😡,i m really angry right now
Let’s celebrate your success! lol,🥳,let s celebrate your success lol
That’s an interesting idea. lol,🤔,that s an interesting idea lol
I’m craving something sweet.!,😋,i m craving something sweet
Let’s celebrate your success! haha,🥳,let s celebrate your success haha
Feeling drowsy at work. haha,😴,feeling drowsy at work haha
It’s my special day today..,🎂,it s my special day today
This food tastes amazing..,😋,this food tastes amazing
Why would they do that?!,🤔,why would they do that
We had so much fun at the celebration. lol,🥳,we had so much fun at the celebration lol
Why would they do that?,🤔,why would they do that
Let’s celebrate your success! please,🥳,let s celebrate your success please
Feeling down right now. lol,😢,feeling down right now lol
This food tastes amazing.!,😋,this food tastes amazing
This is terrifying. omg,😱,this is terrifying omg
Let’s celebrate your success! omg,🥳,let s celebrate your success omg
Why would they do that? haha,🤔,why would they do that haha
I can’t believe this happened. please,😡,i can t believe this happened please
I’m laughing so hard right now..,😂,i m laughing so hard right now
Cheers to the good times! haha,🥳,cheers to the good times haha
That cake looks so good..,😋,that cake looks so good
Well done! omg,👍,well done omg
I stayed up too late yesterday. please,😴,i stayed up too late yesterday please
Well done!,👍,well done
It’s party time! lol,🥳,it s party time lol
Life feels heavy. please,😢,life feels heavy please
We had so much fun at the celebration. please,🥳,we had so much fun at the celebration please
Cheers to the good times!!,🥳,cheers to the good times
I can't stop laughing at this! haha,😂,i can t stop laughing at this haha
This is comedy gold!!,😂,this is comedy gold
Wishing you the sweetest birthday. haha,🎂,wishing you the sweetest birthday haha
This is terrifying. please,😱,this is terrifying please
Grateful for everything. please,🙏,grateful for everything please
Let’s celebrate your success! please,🥳,let s celebrate your success please
I truly adore this moment..,❤️,i truly adore this moment
Well done! haha,👍,well done haha
Time to party all night!.,🥳,time to party all night
This game is lit! haha,🔥,this game is lit haha
Thank you so much. haha,🙏,thank you so much haha
This game is lit!!,🔥,this game is lit
We had so much fun at the celebration.!,🥳,we had so much fun at the celebration
Let’s cut the cake! please,🎂,let s cut the cake please
I stayed up too late yesterday. haha,😴,i stayed up too late yesterday haha
